,FIPS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,1001,34354,35016,35995,36969,38208,39140,40241,41280,42156,43021,43751,44889,45909,46800,48366,49676,51328,52405,53277,54135,54571,55227,54954,54727,54893,54864,55243,55390,55533,55869,58877,59095
1,1003,98918,102228,106234,110872,115823,119947,124243,128760,132798,135671,140416,144875,147957,151509,156266,162183,168121,172404,175827,179406,182265,186558,190145,194885,199183,202939,207601,212521,217855,223234,233140,239294
2,1005,25452,26229,26437,26634,26779,26654,26853,26739,26914,26713,29042,28863,28653,28594,28287,28027,27861,27757,27808,27657,27457,27341,27169,26937,26755,26283,25806,25157,24872,24686,25180,24964
3,1007,16674,16955,17191,17445,17640,17985,18253,18638,18980,19551,19856,21028,21199,21399,21721,22042,22099,22438,22705,22941,22915,22745,22667,22521,22553,22566,22586,22550,22367,22394,22223,22477
4,1009,39409,39864,40228,40990,41360,42581,43538,44889,46276,47308,50982,51845,52551,53457,54124,54624,55485,56240,57055,57341,57322,57560,57580,57619,57526,57526,57494,57787,57771,57826,59081,59041
5,1011,11022,11136,11031,11083,11190,11208,11305,11312,11300,11354,11603,11358,11256,11316,11056,11011,10776,11011,10953,10987,10914,10675,10606,10549,10663,10400,10389,10176,10174,10101,10309,10320
6,1013,21884,21743,21772,21781,21809,21772,21802,21769,21639,21517,21394,21139,20803,20833,20870,20830,20815,20894,20949,20867,20947,20866,20670,20356,20327,20162,20012,19888,19631,19448,19045,18884
7,1015,116114,115226,115764,116268,116089,116701,116580,117135,117046,114767,111882,111266,111625,112705,113462,114477,115388,116211,117274,118363,118572,117744,117190,116471,115917,115469,114973,114710,114331,113605,116266,115972
8,1017,36882,36903,37026,36998,37030,37135,36856,36640,36742,36455,36600,36274,35965,35680,35463,35279,34945,34847,34563,34384,34215,34033,34104,34139,33977,33996,33745,33707,33600,33254,34678,34541
9,1019,19603,19675,19814,20171,20492,20955,21276,21598,21835,21894,23909,24182,24403,24591,24887,25031,25466,25553,25636,25854,25989,25989,25958,26017,25895,25732,25768,25805,26014,26196,24958,24996
10,1021,32520,33046,33223,33662,34193,34849,35628,36310,36920,37550,39604,40197,40683,41079,41534,41946,42318,42881,43239,43484,43643,43689,43582,43628,43760,43700,43866,44120,44163,44428,45024,45274
11,1023,15984,15996,16118,16101,16049,15991,15989,15882,15834,15581,15953,15677,15367,15199,14930,14545,14431,14216,14114,13976,13859,13609,13563,13397,13317,13231,13045,12925,12833,12589,12619,12533
12,1025,27312,27504,27727,27828,28036,27935,28076,28611,28524,28787,27870,27624,27267,27090,26958,26764,26755,26436,26283,26038,25833,25587,25155,25123,24864,24698,24340,24063,23918,23622,22995,22760
13,1027,13280,13293,13386,13462,13480,13499,13625,13835,13971,14009,14240,14298,14257,14203,14121,14077,14053,14085,14161,14006,13932,13687,13434,13404,13441,13415,13393,13350,13294,13235,14193,14190
14,1029,12734,12735,12943,13163,13208,13302,13522,14092,14294,14462,14141,14222,14416,14438,14339,14368,14538,14799,14874,14918,14972,14928,14889,14976,15026,14914,14848,14899,15010,14910,15035,15103
15,1031,40255,40386,41118,41398,41987,42327,42123,42036,42178,42173,43639,43716,43930,44315,45053,45604,46228,47458,48516,49440,49948,50444,51141,50681,50657,50963,51202,51853,51950,52342,53565,54174
16,1033,51816,52254,52279,52570,52413,52413,52620,53090,52874,52428,54979,54793,54536,54279,54380,54359,54413,54486,54473,54426,54428,54539,54570,54529,54462,54417,54497,54695,55004,55241,57236,57474
17,1035,14031,14274,14132,14109,14130,14086,14175,14036,13876,13751,14077,13940,13793,13585,13430,13421,13603,13441,13388,13274,13228,13195,13046,12912,12677,12678,12500,12431,12292,12067,11552,11328
18,1037,11060,11112,11073,11290,11588,11694,11550,11587,11603,11679,11842,11848,11740,11732,11560,11467,11451,11439,11493,11410,11539,11486,11346,11254,11037,10934,10819,10724,10643,10663,10383,10450
19,1039,36508,36565,36850,37073,36919,37254,37412,37434,37407,37429,37640,37069,36901,36860,36806,37204,37441,37631,37545,37648,37765,38020,37805,37814,37760,37556,37382,37062,36953,37049,37469,37524
20,1041,13598,13553,13513,13559,13480,13590,13583,13698,13608,13595,13657,13724,13635,13652,13727,13699,13880,13956,13922,14024,13906,13894,13915,13847,13851,13850,13916,13858,13825,13772,13157,13083
21,1043,67792,68571,69599,70437,71451,72288,73412,74087,74977,75685,77426,77415,77443,77657,78131,78692,79044,79576,80273,80351,80406,80410,80279,80690,81068,81761,82450,82867,83418,83768,88044,89496
22,1045,49598,49822,49810,49677,50381,50251,49475,49115,48914,49032,49120,49254,49373,49215,49245,49050,49077,49488,49871,49854,50251,50122,50289,49771,49414,49365,49362,49342,49143,49172,49214,49342
23,1047,48015,47857,47940,48002,47806,47707,47349,47107,46768,46728,46361,46132,45377,45170,44795,44434,44323,44194,44265,43759,43820,43251,42789,41976,41554,40936,40080,39238,38294,37196,38190,37619
24,1049,54764,55346,55856,56494,57538,57293,57383,57663,58305,59014,64436,65678,65861,66530,67260,67794,68495,69450,70228,70864,71109,71365,70944,70912,70993,71087,71104,71437,71407,71513,71630,71813
25,1051,49470,50661,52382,54048,55470,57067,58560,60322,61982,64011,65819,67459,68659,69935,71018,72978,75246,77124,77698,78632,79303,79993,80193,80536,80538,80872,81204,81422,81011,81209,88116,89304
26,1053,35485,35578,35940,36128,36276,36228,36384,36621,36707,36720,38452,38197,38035,37796,37713,37601,37673,37839,37929,38249,38319,38204,38023,37765,37735,37661,37475,36993,36524,36633,36665,36699
27,1055,99798,100308,100846,101160,102016,102099,102773,103791,103984,103577,103448,102976,102988,103025,103080,103174,103528,103893,104206,104239,104430,104369,104278,103884,103399,102998,102855,103007,102611,102268,103393,103162
28,1057,17996,18115,18097,18029,18041,18010,18064,18108,18115,18103,18522,18384,18278,18178,18022,18030,17767,17523,17541,17310,17241,17052,16945,16824,16772,16696,16563,16466,16445,16302,16307,16148
29,1059,27768,27955,28364,28662,28921,29191,29400,29610,29702,29789,31257,31190,30891,30874,30768,30968,31134,31004,31459,31589,31704,31776,31690,31553,31559,31515,31611,31542,31298,31362,32063,32013
30,1061,23719,24108,24072,24291,24500,24651,24748,24841,24851,25005,25700,25565,25580,25702,25772,25988,26271,26322,26646,26653,26790,26756,26924,26677,26593,26631,26494,26385,26306,26271,26675,26701
31,1063,10164,10222,10208,10125,10016,9938,9970,9931,9843,9755,9923,9866,9893,9805,9686,9675,9361,9385,9359,9182,9045,8903,8848,8748,8584,8508,8482,8310,8209,8111,7704,7629
32,1065,15529,15718,15912,15977,16063,16201,16356,16441,16737,16841,18270,17868,17376,17116,16765,16622,16427,16418,16260,16025,15760,15361,15364,15246,15046,15015,14828,14801,14749,14651,14792,14754
33,1067,15417,15639,15584,15676,15743,15684,15568,15697,15791,15790,16297,16358,16447,16563,16692,16752,16953,17108,17129,17243,17302,17377,17153,17129,17079,17101,17072,17115,17173,17205,17167,17459
34,1069,81611,82360,83252,83948,83409,83820,84683,85120,85538,86077,88831,89490,89940,91321,92593,93903,95846,97727,99183,100500,101547,102488,103371,103643,104158,104260,104218,104378,104770,105882,107190,107458
